Rank	Title	Stars	Debut	Rating	Num of Ratings
178	Wentworth	Kate Atkinson, Celia Ireland	2013	8.5	10764
179	Futurama	Billy West, John DiMaggio	1999	8.5	171110
180	Sons of Anarchy	Charlie Hunnam, Katey Sagal	2008	8.5	202850
181	Jesus of Nazareth	Robert Powell, Olivia Hussey	1977	8.5	14550
182	Behzat Ç.: Bir Ankara Polisiyesi	Erdal Besikçioglu, Fatih Artman	2010	8.5	20330
183	Spartacus: War of the Damned	Andy Whitfield, Lucy Lawless	2010	8.5	186855
184	Boku dake ga inai machi	Ben Diskin, Shinnosuke Mitsushima	2016	8.5	7508
185	The Knick	Clive Owen, André Holland	2014	8.5	33556
186	Community	Joel McHale, Danny Pudi	2009	8.5	157375
187	Garth Marenghi's Darkplace	Richard Ayoade, Matt Berry	2004	8.5	12792
188	Ozark	Jason Bateman, Laura Linney	2017	8.5	27082
189	Police Squad!	Leslie Nielsen, Alan North	1982	8.5	11412
190	Endeavour	Shaun Evans, Roger Allam	2012	8.5	9268
191	Legion	Dan Stevens, Rachel Keller	2017	8.5	45631
192	Permanent Roommates	Nidhi Singh, Sumeet Vyas	2014	8.5	15806
193	Carnivàle	Michael J. Anderson, Adrienne Barbeau	2003	8.5	36814
194	X-Men	Cedric Smith, Cathal J. Dodd	1992	8.5	28228
195	Scenes from a Marriage	Liv Ullmann, Erland Josephson	1973	8.4	12569
196	Tatli Hayat	Asli Altaylar, Ceyda Ates	2001	8.4	5101
197	Generation War	Volker Bruch, Tom Schilling	2013	8.4	17468
198	Happy Valley	Sarah Lancashire, Siobhan Finneran	2014	8.4	18917
199	Modern Family	Ed O'Neill, Sofía Vergara	2009	8.4	273455
200	Isler Güçler	Murat Cemcir, Ahmet Kural	2012	8.4	16368
201	State of Play	John Simm, Kelly Macdonald	2003	8.4	7767
202	Samurai Jack	Phil LaMarr, Mako	2001	8.4	33120
203	Entourage	Kevin Connolly, Adrian Grenier	2004	8.4	143065
204	Utopia	Adeel Akhtar, Paul Higgins	2013	8.4	30395
205	Jeeves and Wooster	Stephen Fry, Hugh Laurie	1990	8.4	9491
206	The Muppet Show	Jim Henson, Frank Oz	1976	8.4	17275
207	Line of Duty	Martin Compston, Vicky McClure	2012	8.4	9347
208	Doctor Who	William Hartnell, Patrick Troughton	1963	8.4	28993
209	Mushi-Shi	Yûto Nakano, Kôjun Itô	2005	8.4	8717
210	Bill Nye, the Science Guy	Bill Nye, Pat Cashman	1993	8.4	5065
211	Parasyte: The Maxim	Adam Gibbs, Aya Hirano	2014	8.4	10934
212	The Larry Sanders Show	Garry Shandling, Jeffrey Tambor	1992	8.4	5889
213	Borgen	Sidse Babett Knudsen, Birgitte Hjort Sørensen	2010	8.4	12772
214	Yu Yu Hakusho: Ghost Files	Nozomu Sasaki, Justin Cook	1992	8.4	8516
215	Roots	LeVar Burton, Todd Bridges	1977	8.4	12889
216	Mr. Show with Bob and David	Bob Odenkirk, David Cross	1995	8.4	7441
217	13 Reasons Why	Dylan Minnette, Katherine Langford	2017	8.4	122647
218	Whose Line Is It Anyway?	Colin Mochrie, Aisha Tyler	2013	8.4	5195
219	Southland	Michael Cudlitz, Shawn Hatosy	2009	8.4	21902
220	Red Dwarf	Chris Barrie, Craig Charles	1988	8.4	27486
221	The Walking Dead	Andrew Lincoln, Norman Reedus	2010	8.4	705331
222	Riget	Ernst-Hugo Järegård, Kirsten Rolffes	1994	8.4	14816
223	Naruto: Shippûden	Junko Takeuchi, Maile Flanagan	2007	8.4	52543
224	Anne with an E	Amybeth McNulty, Geraldine James	2017	8.4	5626
225	Brigada	Sergey Bezrukov, Dmitriy Dyuzhev	2002	8.4	7869
226	Summer Heights High	Chris Lilley, Asolima Tauati	2007	8.4	12460
227	Hellsing Ultimate	Katie Gray, Crispin Freeman	2006	8.4	14267
228	The Good Fight	Christine Baranski, Rose Leslie	2017	8.4	5023
229	My Mad Fat Diary	Jodie Comer, Ciara Baxendale	2013	8.4	12124
230	Trailer Park Boys	John Paul Tremblay, Robb Wells	2001	8.4	28375
231	Supernatural	Jared Padalecki, Jensen Ackles	2005	8.4	311997
232	24: Live Another Day	Kiefer Sutherland, Yvonne Strahovski	2014	8.3	38412
233	Fringe	Anna Torv, Joshua Jackson	2008	8.3	190699
234	The Inbetweeners	Simon Bird, James Buckley	2008	8.3	62643
235	BoJack Horseman	Will Arnett, Amy Sedaris	2014	8.3	37883
236	Lost	Jorge Garcia, Josh Holloway	2004	8.3	413635
237	Dragon Ball Z Kai	Masako Nozawa, Jôji Yanami	2009	8.3	15369
238	Broadchurch	David Tennant, Olivia Colman	2013	8.3	54804
239	Top Gear	Tiff Needell, Jeremy Clarkson	1978	8.3	23658
240	Star Trek	William Shatner, Leonard Nimoy	1966	8.3	57391
241	Billions	Paul Giamatti, Damian Lewis	2016	8.3	33379
242	Stargate SG-1	Richard Dean Anderson, Michael Shanks	1997	8.3	69708
243	Olive Kitteridge	Frances McDormand, Richard Jenkins	2014	8.3	12180
244	Genius	Michael McElhatton, Johnny Flynn	2017	8.3	8176
245	Pushing Daisies	Lee Pace, Anna Friel	2007	8.3	48008
246	Boston Legal	James Spader, William Shatner	2004	8.3	37444
247	Bleak House	Anna Maxwell Martin, Denis Lawson	2005	8.3	7160
248	M*A*S*H	Alan Alda, Wayne Rogers	1972	8.3	41085
249	Person of Interest	Jim Caviezel, Taraji P. Henson	2011	8.3	138766
250	I Love Lucy	Lucille Ball, Desi Arnaz	1951	8.3	18626
